buyer_id,sale_id,buyer_type,payment_mode,loan_taken,loan_provider,loan_amount
1,l01179,end user,cash,False,none,0
2,l00866,investor,cheque,False,none,0
3,l00102,investor,cheque,True,axis,2317757
4,l00440,investor,bank transfer,False,none,0
5,l00059,investor,upi,True,hdfc,4191221
6,l01121,end user,cheque,True,pnb,5583760
7,l00324,investor,cheque,False,none,0
8,l00975,investor,cheque,False,none,0
9,l00412,investor,cheque,False,none,0
10,l00856,end user,cash,True,axis,4045381
11,l00821,end user,cash,False,none,0
12,l00045,end user,bank transfer,False,none,0
13,l00050,investor,cheque,False,none,0
14,l00850,end user,upi,True,sbi,7930296
15,l00241,investor,cheque,True,icici,9436023
16,l00171,end user,bank transfer,False,none,0
17,l00524,investor,cash,False,none,0
18,l00766,end user,cash,False,none,0
19,l00839,end user,cash,False,none,0
20,l00424,investor,upi,False,none,0
21,l00381,end user,cash,True,pnb,5508034
22,l00610,investor,bank transfer,False,none,0
23,l00677,end user,upi,True,axis,7429696
24,l00345,investor,cheque,False,none,0
25,l00110,investor,cash,True,pnb,2014020
26,l00278,investor,bank transfer,True,axis,6171213
27,l00678,investor,cheque,False,none,0
28,l00571,investor,upi,True,sbi,2021567
29,l00359,investor,cheque,True,axis,4478227
30,l00599,end user,bank transfer,True,axis,4469398
31,l00391,end user,cash,True,icici,4951639
32,l00894,end user,cash,False,none,0
33,l00693,investor,upi,False,none,0
34,l00728,end user,cash,True,icici,1662028
35,l00363,end user,upi,True,icici,7964815
36,l00597,investor,upi,True,axis,5143183
37,l00428,investor,upi,False,none,0
38,l00071,end user,cash,False,none,0
39,l00322,end user,cheque,False,none,0
40,l00653,investor,cash,True,pnb,550676
41,l01066,investor,upi,False,none,0
42,l00108,end user,cash,False,none,0
43,l01109,end user,cash,True,hdfc,3301801
44,l00356,end user,upi,False,none,0
45,l00951,end user,bank transfer,False,none,0
46,l00343,end user,bank transfer,False,none,0
47,l00355,end user,upi,False,none,0
48,l00024,investor,upi,False,none,0
49,l00044,end user,cash,True,sbi,8202063
50,l00244,end user,upi,True,axis,3699653
51,l00738,end user,cheque,False,none,0
52,l01136,investor,upi,False,none,0
53,l00368,end user,cash,True,pnb,1395669
54,l00164,investor,cheque,False,none,0
55,l01116,end user,cheque,True,sbi,3770038
56,l00333,investor,bank transfer,True,axis,1132448
57,l00989,end user,cash,False,none,0
58,l01173,investor,bank transfer,True,sbi,8947538
59,l01002,investor,upi,True,icici,9805272
